IPC 코드,IPC 구분,IPC 한글설명,IPC 영문설명, 
A,Section,생활필수품,HUMAN NECESSITIES, 
A01,Class ,농업; 임업; 축산; 수렵; 포획; 어업,AGRICULTURE ; FORESTRY ; ANIMAL HUSBANDRY ; HUNTING ; TRAPPING ; FISHING, 
A01B,Subclass,"농업 또는 임업에 있어서의 토작업; 농기구 또는 기구의 부품, 세부 또는 부속구 일반(파종, 식부 또는 시비를 위한 고랑 또는 구멍형성이나 복토 A01C-005/00 ; 토(土)작업 기구로 전환이 가능하거나 토(土)작업을 겸할 수 있는 제초기 A01D-042/04 ; 토(土)작업구를 갖춘 제초기 A01D-043/02 ; 토목공사를 위한 토(土)작업 E01 , E02 , E21 )","SOIL WORKING IN AGRICULTURE OR FORESTRY ; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL making or covering furrows or holes for sowing, planting or manuring A01C-005/00 machines for harvesting root crops A01D mowers convertible to soil working apparatus or capable of soil working A01D-042/04 mowers combined with soil working implements A01D-043/12 soil working for engineering purposes E01 , E02 , E21", 
A01C,Subclass,"식부; 파종; 시비(토양의 일반적 토(土)작업과 결합한 것 A01B-049/04 ; 농작업기 또는 기구의 부품, 세부 또는 부속구일반 A01B-051/00 ~ 75/00)","PLANTING ; SOWING ; FERTILISING combined with general working of soil A01B-049/04 parts, details or accessories of agricultural machines or implements, in general", 
A01D,Subclass,수확; 예취,HARVESTING ; MOWING, 
A01F,Subclass,"탈곡(콤바인 A01D-041/00 )；짚, 건초 또는 그와 유사한 것의 곤포；짚, 건초 또는 그와 유사한 것을 다발로 만들거나 묶기 위한 정치장치 또는 수동구；건초, 짚 또는 그와 유사하는 것의 절단；농업 수확물 또는 원예 수확물의 저장 (수확과 관련하여 목초의 집적 또는 배치하기 위한 장치 A01D-085/00 )","THRESHING combines A01D-041/00 ; BALING OF STRAW, HAY OR THE LIKE ; STATIONARY APPARATUS OR HAND TOOLS FOR FORMING OR BINDING STRAW, HAY OR THE LIKE INTO BUNDLES ; CUTTING OF STRAW, HAY OR THE LIKE ; STORING AGRICULTURAL OR HORTICULTURAL PRODUCE arrangements for making or setting stacks in connection with harvesting A01D-085/00", 
A01G,Subclass,"원예; 채소, 화훼, 벼, 과수, 포도, 호프 또는 해초의 재배; 임업; 관수 (과실, 채소, 호프 또는 이에 유사한 것의 따기 A01D-046/00 ; 단세포 조류의 배양 C12N-001/12 )","HORTICULTURE ; CULTIVATION OF VEGETABLES, FLOWERS, RICE, FRUIT, VINES, HOPS OR SEAWEED ; FORESTRY ; WATERING picking of fruits, vegetables, hops or the like A01D-046/00 propagating unicellular algae C12N-001/12", 
A01H,Subclass,새로운 식물 또는 그것들을 얻기 위한 육종처리; 조직배양기술에 의한 식물의 증식,NEW PLANTS OR PROCESSES FOR OBTAINING THEM ; PLANT REPRODUCTION BY TISSUE CULTURE TECHNIQUES, 
A01J,Subclass,낙농 제품의 제조 (화학적 사항에 관해서는 서브클래스 A23C 참조),"MANUFACTURE OF DAIRY PRODUCTS for chemical matters, see subclass A23C", 
A01K,Subclass,축산; 조류 사육; 양봉; 어류 사육; 어업; 달리 분류되지 않는 동물의 사육 또는 번식; 새로운 동물,"ANIMAL HUSBANDRY ; AVICULTURE ; APICULTURE ; PISCICULTURE ; FISHING ; REARING OR BREEDING ANIMALS, NOT OTHERWISE PROVIDED FOR ; NEW BREEDS OF ANIMALS", 
